City,Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Year Built,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Closed Date,Days on Market
McCall,Pinecrest Add.,0.34,Yes,Yes,2,1.0,854,51 - 80 Years,1949,Unknown,Unknown,Block,"Fireplace, Wall Heater",PLSWD,Well,150000.0,1/31/2024,115
McCall,Rio Vista 4,0.272,Yes,Yes,4,3.0,2336,51 - 80 Years,1978,Two,Unknown,"Concrete Perimeter, Slab","Elec Baseboard, Propane",PLSWD,Public,695000.0,3/8/2024,148
Donnelly,Wagon Wheel Ranch 3,0.593,No,Yes,3,2.0,1188,1 - 5 Years,2018,Unknown,Unknown,Concrete Perimeter,"Elec Forced Air, Wood Stove",NLSD,Well,399000.0,5/2/2024,203
McCall,White Cloud 2,1.76,Yes,Yes,4,2.0,2065,< 1 Year,2023,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",Septic Installed,Well,1050000.0,1/8/2024,85
McCall,Blackhawk Ranch 3,1.13,No,Yes,3,3.0,2450,11 - 20 Years,2005,Two,One,Concrete Perimeter,"Gas Forced Air, Propane Fire Place",Septic Installed,Well,1190000.0,12/14/2023,59
McCall,Jasper,0.44,No,Yes,4,3.0,2286,31 - 50 Years,1975,Two,Unknown,Concrete Perimeter,"Elec Baseboard, Propane Fire Place",City,Public,1495000.0,11/28/2023,37
McCall,Running Horse,0.06,Yes,Yes,4,3.0,2299,New-Never Occupied,2023,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",PLSWD,Public,1775000.0,12/29/2023,67
Donnelly,Roseberry Ranches,2.97,No,Yes,3,2.0,2380,1 - 5 Years,2019,Three,Unknown,Concrete Perimeter,"Heat Pump, Pellet Stove, Propane Forced Air",Septic Installed,Well,790000.0,12/15/2023,52
McCall,Long View Acres,2.3,No,Yes,3,2.0,1356,21 - 30 Years,1994,One,Unknown,Unknown,Propane Forced Air,Septic Installed,Well,469000.0,11/3/2023,34
McCall,Valley View 3,0.97,Yes,Yes,3,2.0,2072,11 - 20 Years,2004,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Wood Stove",Septic Installed,Well,840000.0,2/14/2024,104
