Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Days on Market,City_Donnelly,City_McCall,Closed Year,Closed Month,Closed Day
11,0.42,1,1,3,2.5,2211,1,2,0,2,20,0,4,804000.0,40,False,True,2024,4,29
96,0.459,0,1,3,2.0,1404,3,0,0,2,73,3,8,470000.0,57,True,False,2024,5,17
47,0.22,1,1,3,3.0,1967,8,2,0,2,63,0,4,839000.0,37,False,True,2024,5,15
88,8.89,1,1,5,4.0,4884,3,3,0,8,41,7,8,2095000.0,51,False,True,2024,5,30
73,0.336,1,1,4,3.0,2425,0,2,0,2,31,0,4,1355000.0,44,False,True,2024,5,30
22,0.16,0,1,3,2.0,1072,0,1,0,2,7,3,4,400000.0,43,True,False,2024,5,30
104,1.13,1,1,3,2.0,1698,7,2,0,9,72,0,8,895000.0,22,True,False,2024,5,10
52,0.19,1,1,3,2.0,1322,1,2,0,2,29,3,2,399000.0,22,True,False,2024,5,10
15,1.7,0,1,1,1.0,600,4,0,0,5,79,4,3,315000.0,36,True,False,2024,5,30
71,0.3114,0,1,2,1.0,1008,2,0,0,2,16,3,6,419700.0,50,True,False,2024,6,18
48,0.22,1,1,3,2.0,1580,0,2,0,2,20,0,4,865000.0,24,False,True,2024,5,30
92,0.78,1,1,3,3.0,3617,2,2,2,2,4,3,8,930000.0,33,True,False,2024,6,10
97,3.0,0,1,4,3.0,2880,1,2,3,2,57,7,8,1124000.0,37,False,True,2024,6,14
52,0.1837,1,1,3,2.0,1430,1,2,0,2,18,1,1,440000.0,43,True,False,2024,6,20
69,0.15,1,1,2,2.5,1953,0,1,0,8,75,5,4,1750000.0,41,False,True,2024,6,24
45,0.19,1,1,3,2.0,1150,1,2,0,4,31,0,4,590000.0,37,False,True,2024,6,21
24,0.26,1,1,3,2.0,1500,2,0,0,9,32,0,4,554000.0,35,False,True,2024,6,20
74,0.45,1,1,4,3.0,2060,2,2,0,2,53,0,4,935000.0,39,False,True,2024,6,28
88,0.5112,0,1,3,2.5,1772,3,2,1,2,10,0,4,816000.0,1,False,True,2024,3,13
33,1.0168,0,1,1,1.0,548,5,0,1,2,41,0,8,425000.0,23,True,False,2024,6,21
44,1.9,0,1,4,3.0,3021,8,4,0,9,79,6,0,1400000.0,2,False,True,2023,10,24
1,0.0,1,1,2,1.0,703,3,0,0,2,0,5,4,412900.0,15,False,True,2024,6,27
26,0.2137,1,1,3,2.0,1708,3,1,0,2,8,5,4,740000.0,17,False,True,2024,6,26
